
--- [START 2019-07-16_01-15-09] ----------------------------------------------------------------

	@common.py:  
	set random seed
		SEED = 1563210910
	set cuda environment
		torch.__version__              = 1.1.0
		torch.version.cuda             = 9.0.176
		torch.backends.cudnn.version() = 7501
		os['CUDA_VISIBLE_DEVICES']     = 0
		torch.cuda.device_count()      = 1



	SEED         = 1563210910
	PROJECT_PATH = /root/share/project/kaggle/2019/chest/build/single_mask_05
	__file__     = /root/share/project/kaggle/2019/chest/build/single_mask_05/unet_0/train2.py
	out_dir      = /root/share/project/kaggle/2019/chest/result/unet-256-fold2-00

** dataset setting **
batch_size = 7
train_dataset : 
	mode   = train
	split  = train2_10075.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 2079
	num_component[0] = 7996
	len    = 10075

valid_dataset : 
	mode   = train
	split  = valid2_600.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 300
	num_component[0] = 300
	len    = 600


** net setting **
	initial_checkpoint = None
<class 'model.UNet'>

optimizer
  SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
schduler
  NullScheduler
lr=0.01000 

** start training here! **
   batch_size=7,  iter_accum=4
                      |----------- VALID -----------|-------- TRAIN/BATCH -------------------------
rate     iter   epoch |  loss    dice   neg   pos   |   loss    dice  neg   pos   |  time          
---------------------------------------------------------------------------------------------------
0.01000   20.5   14.2 |  0.143   0.155  0.01  0.30  |  0.087   0.217  0.06  0.38  |  2 hr 48 min
0.01000   21.0   14.6 |  0.143   0.155  0.01  0.30  |  0.088   0.211  0.07  0.35  |  2 hr 52 min
0.01000   21.5   14.9 |  0.143   0.155  0.01  0.30  |  0.088   0.244  0.11  0.37  |  2 hr 56 min
0.01000   22.0   15.3 |  0.143   0.155  0.01  0.30  |  0.084   0.259  0.17  0.35  |  3 hr 00 min
0.01000   22.5   15.6 |  0.144   0.242  0.13  0.35  |  0.092   0.202  0.06  0.34  |  3 hr 04 min
0.01000   23.0   16.0 |  0.144   0.242  0.13  0.35  |  0.083   0.254  0.15  0.35  |  3 hr 08 min
0.01000   23.5   16.3 |  0.144   0.242  0.13  0.35  |  0.081   0.311  0.23  0.39  |  3 hr 12 min
0.01000   24.0   16.7 |  0.144   0.242  0.13  0.35  |  0.089   0.197  0.07  0.33  |  3 hr 16 min
0.01000   24.5   17.0 |  0.144   0.242  0.13  0.35  |  0.075   0.231  0.08  0.38  |  3 hr 20 min
0.01000   25.0*  17.4 |  0.181   0.366  0.37  0.37  |  0.080   0.248  0.13  0.37  |  3 hr 24 min
0.01000   25.5   17.7 |  0.181   0.366  0.37  0.37  |  0.079   0.228  0.07  0.38  |  3 hr 28 min
0.01000   26.0   18.1 |  0.181   0.366  0.37  0.37  |  0.075   0.297  0.23  0.36  |  3 hr 32 min
0.01000   26.5   18.4 |  0.181   0.366  0.37  0.37  |  0.083   0.294  0.19  0.39  |  3 hr 36 min
0.01000   27.0   18.8 |  0.181   0.366  0.37  0.37  |  0.075   0.196  0.06  0.34  |  3 hr 40 min
0.01000   27.5   19.1 |  0.174   0.331  0.27  0.39  |  0.070   0.291  0.19  0.39  |  3 hr 44 min
0.01000   28.0   19.5 |  0.174   0.331  0.27  0.39  |  0.077   0.367  0.33  0.41  |  3 hr 48 min
0.01000   28.5   19.8 |  0.174   0.331  0.27  0.39  |  0.076   0.342  0.26  0.42  |  3 hr 52 min
0.01000   29.0   20.1 |  0.174   0.331  0.27  0.39  |  0.072   0.328  0.26  0.39  |  3 hr 56 min
0.01000   29.5   20.5 |  0.174   0.331  0.27  0.39  |  0.070   0.306  0.25  0.37  |  4 hr 00 min
0.01000   30.0*  20.8 |  0.187   0.348  0.32  0.38  |  0.076   0.272  0.15  0.39  |  4 hr 05 min
0.01000   30.5   21.2 |  0.187   0.348  0.32  0.38  |  0.066   0.379  0.34  0.41  |  4 hr 09 min
0.01000   31.0   21.5 |  0.187   0.348  0.32  0.38  |  0.067   0.365  0.34  0.39  |  4 hr 13 min
0.01000   31.5   21.9 |  0.187   0.348  0.32  0.38  |  0.067   0.365  0.33  0.40  |  4 hr 17 min
0.01000   32.0   22.2 |  0.187   0.348  0.32  0.38  |  0.080   0.266  0.17  0.36  |  4 hr 21 min
0.01000   32.5   22.6 |  0.174   0.243  0.10  0.39  |  0.066   0.387  0.35  0.42  |  4 hr 25 min
0.01000   33.0   22.9 |  0.174   0.243  0.10  0.39  |  0.068   0.332  0.27  0.40  |  4 hr 29 min
0.01000   33.5   23.3 |  0.174   0.243  0.10  0.39  |  0.067   0.326  0.23  0.42  |  4 hr 33 min
0.01000   34.0   23.6 |  0.174   0.243  0.10  0.39  |  0.071   0.330  0.27  0.39  |  4 hr 37 min
0.01000   34.5   24.0 |  0.174   0.243  0.10  0.39  |  0.069   0.307  0.18  0.44  |  4 hr 41 min
0.01000   35.0*  24.3 |  0.206   0.316  0.24  0.39  |  0.066   0.437  0.45  0.42  |  4 hr 45 min
0.01000   35.5   24.7 |  0.206   0.316  0.24  0.39  |  0.064   0.383  0.35  0.42  |  4 hr 49 min
0.01000   36.0   25.0 |  0.206   0.316  0.24  0.39  |  0.065   0.358  0.30  0.41  |  4 hr 53 min
0.01000   36.5   25.4 |  0.206   0.316  0.24  0.39  |  0.061   0.367  0.31  0.43  |  4 hr 57 min
0.01000   37.0   25.7 |  0.206   0.316  0.24  0.39  |  0.060   0.347  0.23  0.47  |  5 hr 01 min
0.01000   37.5   26.1 |  0.205   0.389  0.38  0.40  |  0.061   0.430  0.42  0.44  |  5 hr 05 min
0.01000   38.0   26.4 |  0.205   0.389  0.38  0.40  |  0.059   0.425  0.39  0.45  |  5 hr 09 min
0.01000   38.5   26.7 |  0.205   0.389  0.38  0.40  |  0.061   0.424  0.42  0.43  |  5 hr 13 min
0.01000   39.0   27.1 |  0.205   0.389  0.38  0.40  |  0.055   0.465  0.46  0.47  |  5 hr 17 min
0.01000   39.5   27.4 |  0.205   0.389  0.38  0.40  |  0.059   0.413  0.41  0.42  |  5 hr 21 min
0.01000   40.0*  27.8 |  0.198   0.389  0.38  0.39  |  0.062   0.355  0.29  0.42  |  5 hr 26 min
0.01000   40.5   28.1 |  0.198   0.389  0.38  0.39  |  0.057   0.371  0.32  0.42  |  5 hr 30 min
0.01000   41.0   28.5 |  0.198   0.389  0.38  0.39  |  0.059   0.299  0.18  0.42  |  5 hr 34 min
0.01000   41.5   28.8 |  0.198   0.389  0.38  0.39  |  0.061   0.384  0.30  0.47  |  5 hr 38 min
0.01000   42.0   29.2 |  0.198   0.389  0.38  0.39  |  0.058   0.383  0.35  0.41  |  5 hr 42 min
0.01000   42.5   29.5 |  0.223   0.352  0.30  0.40  |  0.061   0.394  0.37  0.42  |  5 hr 46 min
0.01000   43.0   29.9 |  0.223   0.352  0.30  0.40  |  0.053   0.448  0.42  0.47  |  5 hr 50 min
0.01000   43.5   30.2 |  0.223   0.352  0.30  0.40  |  0.065   0.299  0.16  0.44  |  5 hr 54 min
0.01000   44.0   30.6 |  0.223   0.352  0.30  0.40  |  0.056   0.450  0.47  0.43  |  5 hr 58 min
0.01000   44.5   30.9 |  0.223   0.352  0.30  0.40  |  0.055   0.437  0.45  0.43  |  6 hr 02 min
0.01000   45.0*  31.3 |  0.260   0.474  0.52  0.43  |  0.055   0.384  0.31  0.45  |  6 hr 06 min
0.01000   45.5   31.6 |  0.260   0.474  0.52  0.43  |  0.052   0.479  0.47  0.48  |  6 hr 10 min
0.01000   46.0   32.0 |  0.260   0.474  0.52  0.43  |  0.054   0.398  0.37  0.42  |  6 hr 14 min
0.01000   46.5   32.3 |  0.260   0.474  0.52  0.43  |  0.066   0.350  0.29  0.41  |  6 hr 18 min
0.01000   47.0   32.7 |  0.260   0.474  0.52  0.43  |  0.069   0.245  0.09  0.40  |  6 hr 22 min
0.01000   47.5   33.0 |  0.245   0.465  0.52  0.41  |  0.060   0.386  0.32  0.45  |  6 hr 26 min
0.01000   48.0   33.3 |  0.245   0.465  0.52  0.41  |  0.058   0.430  0.40  0.46  |  6 hr 30 min
0.01000   48.5   33.7 |  0.245   0.465  0.52  0.41  |  0.052   0.372  0.30  0.44  |  6 hr 34 min
0.01000   49.0   34.0 |  0.245   0.465  0.52  0.41  |  0.056   0.419  0.41  0.43  |  6 hr 38 min
0.01000   49.5   34.4 |  0.245   0.465  0.52  0.41  |  0.053   0.476  0.48  0.47  |  6 hr 42 min
0.01000   50.0*  34.7 |  0.233   0.308  0.21  0.40  |  0.051   0.454  0.45  0.46  |  6 hr 47 min
0.01000   50.5   35.1 |  0.233   0.308  0.21  0.40  |  0.056   0.393  0.38  0.41  |  6 hr 51 min
